Customer Name,Product Name,Category,Price,Discount (%),Rating,Reviews,Payment Method,Profit,State
Aditya,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Beauty,16.28,18,One,81,Cash on Delivery,4.41,Tamil Nadu
Siddhi,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Beauty,31.12,20,Three,331,Credit Card,5.87,Maharashtra
Anaya,This One Summer,Books,19.49,11,Four,169,Net Banking,6.44,Tamil Nadu
Anaya,Thirst,Beauty,17.27,10,Five,352,Net Banking,4.87,Karnataka
Vivaan,The Torch Is Passed: A Harding Family Story,Beauty,19.09,45,One,260,UPI,6.29,Delhi
Rahul,The Secret of Dreadwillow Carse,Fashion,56.13,25,One,318,Cash on Delivery,10.43,Karnataka
Priya,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Books,56.41,6,One,465,UPI,7.41,Rajasthan
Anaya,The Past Never Ends,Home,56.5,32,Four,290,Net Banking,17.92,Tamil Nadu
Rahul,The Natural History of Us (The Fine Art of Pretending #2),Electronics,45.22,36,Three,359,Debit Card,13.55,Gujarat
Vivaan,The Nameless City (The Nameless City #1),Books,38.16,39,Four,220,Credit Card,4.42,Delhi
Sneha,The Murder That Never Was (Forensic Instincts #5),Fashion,54.11,10,Three,385,Cash on Delivery,9.06,Rajasthan
Aarav,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Electronics,42.96,27,Four,339,Credit Card,11.95,Tamil Nadu
Vivaan,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Beauty,23.89,16,Four,422,UPI,4.94,Gujarat
Rahul,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Electronics,16.77,46,Three,136,Debit Card,4.56,Tamil Nadu
Priya,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Books,20.59,30,Five,339,Debit Card,2.29,Tamil Nadu
Vivaan,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Electronics,37.13,44,One,308,Debit Card,7.08,Rajasthan
Aditya,The Electric Pencil: Drawings from Inside State Hospital No. 3,Beauty,56.06,17,One,273,Cash on Delivery,13.11,Gujarat
Priya,The Death of Humanity: and the Case for Life,Home,58.11,7,Four,159,Net Banking,13.85,Karnataka
Aarav,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Home,49.05,22,Three,305,Credit Card,16.26,Tamil Nadu
Vivaan,The Art Forger,Home,40.76,26,Three,473,Credit Card,5.7,Rajasthan
Siddhi,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Home,19.73,15,One,363,Debit Card,3.35,Rajasthan
Sneha,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Beauty,32.24,34,Five,203,Cash on Delivery,6.77,Gujarat
Siddhi,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Electronics,41.83,6,Four,294,UPI,13.43,Rajasthan
Siddhi,Soul Reader,Home,39.58,5,Two,448,Cash on Delivery,5.11,Delhi
Vivaan,Security,Beauty,39.25,26,Two,133,Net Banking,13.33,Tamil Nadu
Sneha,"Saga, Volume 6 (Saga (Collected Editions) #6)",Books,25.02,6,Three,169,Net Banking,5.46,Rajasthan
Priya,"Saga, Volume 5 (Saga (Collected Editions) #5)",Books,51.04,15,Two,38,Cash on Delivery,9.83,Karnataka
Rahul,Reskilling America: Learning to Labor in the Twenty-First Century,Electronics,19.83,12,Two,113,Credit Card,3.53,Rajasthan
Aarav,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Electronics,50.4,24,Three,499,Cash on Delivery,6.73,Rajasthan
Priya,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Home,13.61,30,Five,335,Net Banking,4.72,Karnataka
Priya,Princess Between Worlds (Wide-Awake Princess #5),Beauty,13.34,28,Five,448,Cash on Delivery,3.71,Delhi
Anaya,"Pop Gun War, Volume 1: Gift",Home,18.97,19,One,428,Net Banking,3.44,Delhi
Aarav,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Electronics,36.28,50,Two,487,Credit Card,9.27,Delhi
Vivaan,Patience,Beauty,10.16,45,Three,270,Net Banking,1.86,Maharashtra
Vivaan,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Electronics,15.44,49,Four,90,UPI,4.16,Delhi
Vivaan,orange: The Complete Collection 1 (orange: The Complete Collection #1),Home,48.41,44,One,107,Cash on Delivery,10.84,Delhi
Siddhi,Online Marketing for Busy Authors: A Step-By-Step Guide,Fashion,46.35,37,One,398,Debit Card,13.73,Maharashtra
Priya,On a Midnight Clear,Books,14.07,30,Three,481,UPI,4.59,Maharashtra
Aditya,Obsidian (Lux #1),Fashion,14.86,6,Two,315,Credit Card,4.68,Gujarat
Rahul,My Paris Kitchen: Recipes and Stories,Beauty,33.37,40,Two,101,Debit Card,9.33,Karnataka
Siddhi,Masks and Shadows,Electronics,56.4,50,Two,450,UPI,9.0,Delhi
Rahul,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Electronics,14.02,10,Four,431,Debit Card,2.19,Karnataka
Sneha,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Beauty,46.91,9,Two,242,Cash on Delivery,6.37,Delhi
Aditya,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Home,45.61,8,Three,54,Credit Card,12.49,Karnataka
Vivaan,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Books,19.92,46,Two,173,Credit Card,3.78,Gujarat
Sneha,"Layered: Baking, Building, and Styling Spectacular Cakes",Fashion,40.11,18,One,115,Cash on Delivery,7.96,Rajasthan
Sneha,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Books,53.9,24,Two,444,UPI,12.93,Maharashtra
Sneha,Join,Electronics,35.67,34,Five,93,Debit Card,6.32,Rajasthan
Rahul,In the Country We Love: My Family Divided,Books,22.0,26,Four,125,Net Banking,5.88,Maharashtra
Sneha,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Fashion,57.36,36,Five,203,UPI,7.86,Gujarat
Anaya,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Beauty,29.17,13,Two,31,Debit Card,8.79,Delhi
Anaya,I am a Hero Omnibus Volume 1,Home,54.63,48,Three,175,UPI,10.23,Maharashtra
Siddhi,How to Be Miserable: 40 Strategies You Already Use,Beauty,46.03,13,One,294,Credit Card,14.95,Maharashtra
Rahul,Her Backup Boyfriend (The Sorensen Family #1),Home,33.97,42,One,238,Debit Card,7.9,Karnataka
Vivaan,"Giant Days, Vol. 2 (Giant Days #5-8)",Home,22.11,41,Two,323,Cash on Delivery,2.46,Tamil Nadu
Rahul,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Beauty,29.69,42,Three,476,Net Banking,6.96,Rajasthan
Aarav,First and First (Five Boroughs #3),Home,15.97,46,Four,85,Cash on Delivery,4.81,Karnataka
Rahul,Fifty Shades Darker (Fifty Shades #2),Fashion,21.96,14,One,322,Cash on Delivery,5.41,Rajasthan
Sneha,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Fashion,54.35,39,Two,331,Credit Card,9.14,Karnataka
Priya,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Fashion,37.97,20,Two,456,Credit Card,12.47,Karnataka
Aditya,Danganronpa Volume 1,Beauty,51.99,46,Four,281,Cash on Delivery,8.65,Delhi
Aditya,Crown of Midnight (Throne of Glass #2),Electronics,43.29,8,Three,394,UPI,11.16,Maharashtra
Aarav,"Codename Baboushka, Volume 1: The Conclave of Death",Beauty,36.72,22,Four,450,Cash on Delivery,8.68,Tamil Nadu
Rahul,Camp Midnight,Beauty,17.08,14,Four,338,Debit Card,3.43,Delhi
Vivaan,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Home,29.14,42,Five,95,Credit Card,3.83,Gujarat
Vivaan,Burning,Fashion,28.81,18,Three,467,Credit Card,8.9,Tamil Nadu
Priya,Bossypants,Home,49.46,49,Two,301,UPI,5.72,Tamil Nadu
Vivaan,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Books,37.92,17,Two,236,Credit Card,12.03,Gujarat
Sneha,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Books,28.09,22,Two,281,Net Banking,6.55,Maharashtra
Sneha,Algorithms to Live By: The Computer Science of Human Decisions,Home,30.81,27,One,353,Net Banking,9.88,Tamil Nadu
Aarav,A World of Flavor: Your Gluten Free Passport,Fashion,42.95,25,One,284,Debit Card,14.73,Gujarat
Siddhi,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Home,56.76,14,Five,174,Cash on Delivery,19.35,Gujarat
Priya,A Murder in Time,Electronics,16.64,16,One,190,Net Banking,3.27,Rajasthan
Priya,A Flight of Arrows (The Pathfinders #2),Books,55.53,10,Five,213,Cash on Delivery,13.57,Maharashtra
Rahul,A Fierce and Subtle Poison,Home,28.13,24,Four,396,Debit Card,4.36,Rajasthan
Anaya,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Electronics,52.37,9,One,287,UPI,15.32,Maharashtra
Aditya,(Un)Qualified: How God Uses Broken People to Do Big Things,Books,54.0,16,Five,194,Credit Card,9.66,Delhi
Aarav,You Are What You Love: The Spiritual Power of Habit,Fashion,21.87,7,Four,481,UPI,6.96,Maharashtra
Sneha,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Fashion,43.3,9,Four,123,Net Banking,6.64,Karnataka
Sneha,Tuesday Nights in 1980,Electronics,21.04,27,Two,106,Net Banking,4.04,Gujarat
Vivaan,Tracing Numbers on a Train,Electronics,41.6,35,Three,224,Net Banking,8.97,Karnataka
Aarav,Throne of Glass (Throne of Glass #1),Beauty,35.07,5,Three,412,Debit Card,9.72,Karnataka
Aditya,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Electronics,59.64,49,One,298,Debit Card,14.63,Gujarat
Aditya,Thirteen Reasons Why,Home,52.72,35,One,131,Credit Card,13.07,Rajasthan
Priya,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Beauty,58.08,7,Four,29,Credit Card,9.72,Gujarat
Aarav,The Wedding Dress,Home,24.12,41,One,68,UPI,7.15,Karnataka
Rahul,The Vacationers,Beauty,42.15,47,Four,83,Cash on Delivery,7.38,Tamil Nadu
Priya,The Third Wave: An Entrepreneurâs Vision of the Future,Home,12.61,13,Five,179,UPI,3.1,Rajasthan
Sneha,The Stranger,Electronics,17.44,50,Four,341,Net Banking,5.21,Karnataka
Sneha,The Shadow Hero (The Shadow Hero),Fashion,33.14,42,One,277,Credit Card,8.59,Tamil Nadu
Sneha,The Secret (The Secret #1),Beauty,27.37,42,Four,371,Cash on Delivery,9.36,Delhi
Priya,The Regional Office Is Under Attack!,Home,51.36,11,Five,245,Cash on Delivery,16.49,Delhi
Priya,The Psychopath Test: A Journey Through the Madness Industry,Electronics,36.0,24,Two,402,Debit Card,11.49,Gujarat
Sneha,The Project,Fashion,10.65,49,One,397,Net Banking,3.27,Delhi
Aditya,The Power of Now: A Guide to Spiritual Enlightenment,Home,43.54,33,Two,309,Credit Card,6.62,Delhi
Vivaan,The Omnivore's Dilemma: A Natural History of Four Meals,Home,38.21,30,Two,291,Credit Card,4.49,Gujarat
Siddhi,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Home,37.34,30,Five,495,Net Banking,10.18,Karnataka
Sneha,The Murder of Roger Ackroyd (Hercule Poirot #4),Beauty,44.1,27,Four,228,Credit Card,5.95,Delhi
Aditya,The Mistake (Off-Campus #2),Electronics,43.29,34,Three,420,Net Banking,9.51,Karnataka
Priya,The Matchmaker's Playbook (Wingmen Inc. #1),Fashion,55.85,28,One,299,Debit Card,5.62,Karnataka
Aarav,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Beauty,37.6,30,Two,451,Net Banking,9.71,Maharashtra
Rahul,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Beauty,10.97,36,One,66,Cash on Delivery,1.94,Maharashtra
Priya,The Kite Runner,Electronics,41.82,10,Four,276,Credit Card,7.1,Tamil Nadu
Siddhi,The House by the Lake,Home,36.95,27,One,314,Debit Card,4.68,Maharashtra
Aditya,The Glittering Court (The Glittering Court #1),Home,44.28,24,One,306,Cash on Delivery,12.06,Rajasthan
Aditya,The Girl on the Train,Fashion,55.02,6,Two,108,Net Banking,13.81,Gujarat
Aditya,The Genius of Birds,Books,17.24,41,One,299,Net Banking,2.57,Tamil Nadu
Aarav,The Emerald Mystery,Electronics,23.15,30,Two,61,UPI,3.51,Gujarat
Siddhi,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Beauty,41.25,43,One,430,UPI,4.29,Delhi
Anaya,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Home,32.0,12,Three,468,Net Banking,7.1,Rajasthan
Aditya,The Artist's Way: A Spiritual Path to Higher Creativity,Beauty,38.49,24,Five,323,Cash on Delivery,4.57,Tamil Nadu
Aditya,The Art of War,Beauty,33.34,7,Five,414,Net Banking,7.22,Rajasthan
Sneha,The Argonauts,Fashion,10.93,33,Two,494,Net Banking,2.0,Delhi
Aditya,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Beauty,27.55,50,Three,88,Credit Card,4.6,Rajasthan
Priya,Suddenly in Love (Lake Haven #1),Home,55.99,35,Two,389,UPI,10.04,Delhi
Sneha,Something More Than This,Home,16.24,12,Four,456,Debit Card,4.36,Maharashtra
Aditya,Soft Apocalypse,Electronics,26.12,30,Two,474,Cash on Delivery,8.33,Gujarat
Vivaan,So You've Been Publicly Shamed,Books,12.23,16,Two,155,Credit Card,4.02,Maharashtra
Siddhi,Shoe Dog: A Memoir by the Creator of NIKE,Electronics,23.99,23,Two,382,UPI,4.64,Tamil Nadu
Anaya,"Shobu Samurai, Project Aryoku (#3)",Fashion,29.06,23,Three,476,Cash on Delivery,8.54,Maharashtra
Priya,Secrets and Lace (Fatal Hearts #1),Fashion,20.27,36,One,480,Cash on Delivery,2.51,Karnataka
Siddhi,Scarlett Epstein Hates It Here,Home,43.55,5,Five,60,Net Banking,10.85,Rajasthan
Siddhi,Romero and Juliet: A Tragic Tale of Love and Zombies,Home,36.94,39,One,376,Debit Card,11.52,Rajasthan
Priya,Redeeming Love,Beauty,20.47,8,Five,85,UPI,3.46,Karnataka
Priya,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Home,41.06,11,One,260,Debit Card,5.25,Tamil Nadu
Priya,Poems That Make Grown Women Cry,Beauty,14.19,18,Four,40,UPI,3.77,Maharashtra
Siddhi,"Nightingale, Sing",Beauty,38.28,45,One,397,Debit Card,12.85,Gujarat
Aditya,Night Sky with Exit Wounds,Electronics,41.05,41,One,438,UPI,4.33,Gujarat
Siddhi,Mrs. Houdini,Books,30.25,28,Five,117,UPI,8.43,Maharashtra
Aditya,Modern Romance,Fashion,28.26,46,Five,366,Debit Card,3.57,Karnataka
Siddhi,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Beauty,10.76,33,One,451,Net Banking,3.35,Karnataka
Rahul,Louisa: The Extraordinary Life of Mrs. Adams,Electronics,16.85,46,Two,477,Credit Card,4.16,Delhi
Sneha,Little Red,Beauty,13.47,50,Three,98,UPI,3.29,Delhi
Sneha,Library of Souls (Miss Peregrineâs Peculiar Children #3),Fashion,48.56,32,Five,21,Cash on Delivery,10.98,Tamil Nadu
Aarav,Large Print Heart of the Pride,Beauty,19.15,34,Two,390,UPI,5.4,Delhi
Aarav,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Home,57.36,34,Four,20,Credit Card,17.91,Rajasthan
Aditya,Hollow City (Miss Peregrineâs Peculiar Children #2),Electronics,42.98,27,One,380,Cash on Delivery,15.01,Gujarat
Sneha,Grumbles,Home,22.16,8,Two,169,Credit Card,4.2,Karnataka
Aditya,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Beauty,49.43,32,Four,455,UPI,9.52,Maharashtra
Priya,Frostbite (Vampire Academy #2),Beauty,29.99,35,Five,280,UPI,9.17,Gujarat
Priya,Follow You Home,Books,21.36,42,One,94,Credit Card,6.81,Rajasthan
Priya,First Steps for New Christians (Print Edition),Fashion,29.0,29,One,429,Credit Card,4.02,Karnataka
Aditya,Finders Keepers (Bill Hodges Trilogy #2),Beauty,53.53,33,Five,461,Credit Card,8.13,Rajasthan
Aarav,"Fables, Vol. 1: Legends in Exile (Fables #1)",Fashion,41.62,41,Four,129,Debit Card,4.26,Karnataka
Rahul,Eureka Trivia 6.0,Books,54.59,43,Four,156,Credit Card,18.09,Delhi
Vivaan,Drive: The Surprising Truth About What Motivates Us,Fashion,34.95,20,Four,88,Debit Card,8.81,Gujarat
Priya,Done Rubbed Out (Reightman & Bailey #1),Books,37.72,6,Five,475,Credit Card,8.09,Gujarat
Siddhi,Doing It Over (Most Likely To #1),Beauty,35.61,28,Three,28,Net Banking,7.16,Maharashtra
Rahul,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Electronics,42.16,36,Three,329,Net Banking,4.86,Gujarat
